City_development_index,Gender,Relevant_Experience,Enrolled_university,Education_level,Major_discipline,Total_Experience,Company_size,Company_type,target
0.780,Male,No relevent experience,No Enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0
0.770,Male,Has relevent experience,No Enrollment,Masters,STEM,21,50-99,Funded Startup,0
0.760,Male,Has relevent experience,No Enrollment,Graduate,STEM,13,0-9,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,1000-4999,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,10-49,Pvt Ltd,0
0.840,Male,Has relevent experience,No Enrollment,Masters,STEM,11,100-499,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Masters,STEM,11,100-499,Pvt Ltd,0
0.780,Male,Has relevent experience,No Enrollment,Graduate,Humanities,0,1000-4999,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,18,50-99,Funded Startup,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,100-499,Pvt Ltd,0
0.920,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,0
0.920,Female,Has relevent experience,No Enrollment,Graduate,STEM,21,100-499,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,10-49,Early Stage Startup,0
0.930,Male,Has relevent experience,No Enrollment,Phd,STEM,21,100-499,Pvt Ltd,1
0.930,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,0
0.620,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,1
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,100-499,Pvt Ltd,1
0.920,Other,Has relevent experience,No Enrollment,Graduate,STEM,19,10000+,Public Sector,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,10-49,Pvt Ltd,0
0.670,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,100-499,Pvt Ltd,0
0.790,Male,No relevent experience,No Enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,100-499,Pvt Ltd,0
0.750,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,0
0.770,Male,Has relevent experience,No Enrollment,Graduate,Humanities,21,100-499,Pvt Ltd,1
0.940,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,100-499,Pvt Ltd,0
0.890,Male,Has relevent experience,No Enrollment,Masters,Humanities,21,100-499,Pvt Ltd,0
0.870,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1
0.860,Other,No relevent experience,No Enrollment,Masters,Humanities,4,10000+,Pvt Ltd,0
0.910,Female,Has relevent experience,No Enrollment,Masters,Humanities,14,500-999,Public Sector,0
0.830,Male,Has relevent experience,No Enrollment,Graduate,STEM,2,10-49,Pvt Ltd,0
0.890,Male,Has relevent experience,No Enrollment,Masters,STEM,5,50-99,Pvt Ltd,0
0.920,Male,No relevent experience,No Enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,0
0.860,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,0
0.920,Female,Has relevent experience,No Enrollment,Masters,STEM,2,0-9,Early Stage Startup,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,50-99,Pvt Ltd,0
0.880,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,10-49,Early Stage Startup,0
0.870,Female,No relevent experience,Part time course,Graduate,STEM,0,10-49,Pvt Ltd,0
0.920,Female,No relevent experience,No Enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,1
0.800,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,0
0.800,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1
0.550,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,10-49,Pvt Ltd,1
0.550,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,100-499,Pvt Ltd,1
0.920,Female,Has relevent experience,No Enrollment,Graduate,STEM,11,500-999,NGO,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,0
0.940,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,50-99,Pvt Ltd,0
0.900,Male,Has relevent experience,No Enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,2,0-9,Pvt Ltd,1
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,1000-4999,Pvt Ltd,0
0.860,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,50-99,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,0-9,Pvt Ltd,0
0.620,Male,Has relevent experience,Full time course,Graduate,STEM,2,10-49,NGO,0
0.930,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,1000-4999,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,3,100-499,Pvt Ltd,1
0.900,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,0-9,Pvt Ltd,0
0.920,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,0
0.620,Female,Has relevent experience,No Enrollment,Graduate,STEM,11,50-99,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Phd,STEM,21,100-499,Pvt Ltd,1
0.880,Male,Has relevent experience,No Enrollment,Graduate,STEM,12,100-499,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,100-499,Pvt Ltd,0
0.690,Male,Has relevent experience,Full time course,Graduate,STEM,11,10-49,Pvt Ltd,0
0.860,Male,Has relevent experience,No Enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,0
0.920,Female,Has relevent experience,No Enrollment,Graduate,STEM,21,100-499,NGO,0
0.920,Female,No relevent experience,No Enrollment,Masters,STEM,15,50-99,Pvt Ltd,0
0.920,Female,Has relevent experience,No Enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1
0.930,Male,No relevent experience,No Enrollment,Graduate,STEM,12,100-499,Pvt Ltd,0
0.920,Male,No relevent experience,No Enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,0-9,Funded Startup,0
0.620,Female,Has relevent experience,No Enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,0
0.920,Male,No relevent experience,No Enrollment,Graduate,STEM,9,0-9,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,5000-9999,Pvt Ltd,0
0.860,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,0
0.920,Male,No relevent experience,No Enrollment,Phd,STEM,21,50-99,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1
0.930,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,13,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,Other,21,100-499,Pvt Ltd,0
0.920,Female,Has relevent experience,No Enrollment,Masters,STEM,15,10000+,Pvt Ltd,0
0.700,Male,No relevent experience,No Enrollment,Graduate,STEM,21,500-999,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,Arts,21,100-499,Pvt Ltd,0
0.750,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,0-9,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Masters,STEM,21,10000+,Public Sector,1
0.860,Male,Has relevent experience,No Enrollment,Masters,STEM,10,100-499,Pvt Ltd,0
0.700,Male,Has relevent experience,Part time course,Masters,STEM,5,0-9,Early Stage Startup,0
0.920,Male,Has relevent experience,No Enrollment,Masters,STEM,21,5000-9999,Pvt Ltd,0
0.950,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,0-9,Public Sector,0
0.920,Male,Has relevent experience,No Enrollment,Masters,STEM,9,10-49,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Masters,STEM,21,0-9,Funded Startup,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,100-499,Funded Startup,0
0.940,Male,Has relevent experience,No Enrollment,Masters,STEM,21,10-49,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Masters,STEM,21,50-99,Pvt Ltd,0
0.900,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,0
0.920,Female,Has relevent experience,No Enrollment,Graduate,STEM,21,50-99,Pvt Ltd,0
0.790,Male,Has relevent experience,No Enrollment,Graduate,STEM,14,10-49,Pvt Ltd,1
0.700,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,50-99,Early Stage Startup,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,12,10000+,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Masters,STEM,4,100-499,Funded Startup,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,Humanities,14,0-9,Early Stage Startup,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0
0.880,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,100-499,Early Stage Startup,0
0.620,Male,No relevent experience,No Enrollment,Graduate,STEM,2,500-999,Public Sector,0
0.900,Male,Has relevent experience,No Enrollment,Graduate,STEM,3,100-499,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Masters,Humanities,2,50-99,Early Stage Startup,0
0.920,Male,Has relevent experience,No Enrollment,Masters,Other,21,100-499,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Masters,STEM,3,50-99,Funded Startup,0
0.920,Male,Has relevent experience,No Enrollment,Masters,STEM,21,10000+,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,50-99,Pvt Ltd,0
0.940,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,0
0.940,Male,Has relevent experience,No Enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,0
0.920,Male,Has relevent experience,Part time course,Graduate,STEM,21,50-99,Public Sector,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,2,100-499,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Masters,STEM,15,100-499,Pvt Ltd,0
0.730,Female,Has relevent experience,No Enrollment,Graduate,STEM,9,100-499,Funded Startup,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,13,500-999,Pvt Ltd,0
0.900,Male,Has relevent experience,No Enrollment,Masters,STEM,19,100-499,Pvt Ltd,0
0.880,Female,No relevent experience,No Enrollment,Phd,STEM,3,1000-4999,Public Sector,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,50-99,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,100-499,Public Sector,0
0.930,Male,No relevent experience,No Enrollment,Graduate,STEM,21,50-99,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Masters,STEM,10,50-99,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,50-99,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,1000-4999,NGO,0
0.620,Male,Has relevent experience,No Enrollment,Masters,STEM,6,10-49,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,3,500-999,Pvt Ltd,0
0.670,Male,Has relevent experience,Part time course,Graduate,STEM,9,10-49,Pvt Ltd,1
0.670,Other,No relevent experience,No Enrollment,Graduate,STEM,21,50-99,Pvt Ltd,1
0.930,Male,Has relevent experience,No Enrollment,Masters,STEM,11,10-49,Early Stage Startup,0
0.880,Male,Has relevent experience,No Enrollment,Graduate,STEM,12,50-99,Pvt Ltd,0
0.920,Male,No relevent experience,No Enrollment,Masters,STEM,3,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,Part time course,Graduate,STEM,5,1000-4999,Public Sector,0
0.910,Male,Has relevent experience,No Enrollment,Phd,STEM,21,100-499,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,13,50-99,Funded Startup,0
0.950,Male,Has relevent experience,No Enrollment,Graduate,STEM,4,50-99,Funded Startup,0
0.640,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,50-99,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,100-499,Funded Startup,0
0.880,Male,No relevent experience,Part time course,Graduate,STEM,10,10-49,Early Stage Startup,0
0.520,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,0-9,Early Stage Startup,0
0.730,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,10-49,Pvt Ltd,0
0.920,Male,Has relevent experience,Full time course,Graduate,STEM,21,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Masters,STEM,21,0-9,Pvt Ltd,0
0.930,Male,Has relevent experience,Part time course,Graduate,STEM,19,500-999,Pvt Ltd,0
0.750,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,10000+,Pvt Ltd,0
0.860,Female,Has relevent experience,Full time course,Graduate,STEM,6,1000-4999,Pvt Ltd,0
0.580,Male,Has relevent experience,No Enrollment,Graduate,STEM,4,10-49,Pvt Ltd,0
0.800,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,10-49,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,2,50-99,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Masters,STEM,21,50-99,Pvt Ltd,0
0.740,Male,No relevent experience,Full time course,Masters,STEM,11,50-99,Pvt Ltd,0
0.800,Male,Has relevent experience,No Enrollment,Phd,STEM,21,100-499,Pvt Ltd,0
0.920,Female,Has relevent experience,No Enrollment,Graduate,STEM,2,10-49,Funded Startup,0
0.920,Male,Has relevent experience,No Enrollment,Masters,STEM,18,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,10000+,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,0-9,Pvt Ltd,0
0.940,Male,Has relevent experience,No Enrollment,Graduate,Humanities,3,10000+,Pvt Ltd,0
0.860,Female,Has relevent experience,No Enrollment,Masters,STEM,9,100-499,Pvt Ltd,1
0.910,Female,Has relevent experience,No Enrollment,Graduate,STEM,7,10000+,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Masters,STEM,21,500-999,Pvt Ltd,0
0.860,Female,Has relevent experience,No Enrollment,Graduate,STEM,14,50-99,Pvt Ltd,0
0.900,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Early Stage Startup,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0
0.800,Male,Has relevent experience,Full time course,Masters,STEM,5,100-499,Pvt Ltd,0
0.920,Female,Has relevent experience,No Enrollment,Graduate,STEM,9,50-99,Pvt Ltd,0
0.910,Male,No relevent experience,No Enrollment,Masters,STEM,5,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,50-99,Funded Startup,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,50-99,Pvt Ltd,0
0.880,Male,Has relevent experience,No Enrollment,Masters,STEM,21,1000-4999,Pvt Ltd,1
0.780,Male,Has relevent experience,Part time course,Graduate,STEM,18,100-499,Funded Startup,0
0.800,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,0
0.900,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,10-49,Funded Startup,0
0.620,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,1
0.910,Female,Has relevent experience,No Enrollment,Graduate,STEM,13,50-99,Pvt Ltd,0
0.890,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,100-499,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,1000-4999,Public Sector,0
0.930,Male,Has relevent experience,No Enrollment,Masters,STEM,15,100-499,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,0
0.930,Male,No relevent experience,No Enrollment,Graduate,STEM,3,1000-4999,Public Sector,0
0.910,Male,Has relevent experience,No Enrollment,Masters,STEM,21,100-499,Pvt Ltd,0
0.940,Male,Has relevent experience,No Enrollment,Phd,STEM,21,50-99,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,17,100-499,Pvt Ltd,0
